halfAngle,speed,target
39.0,411.0,0
27.0,311.0,0
36.0,970.0,1
29.0,808.0,0
24.0,1008.0,0
32.0,470.0,0
48.0,1397.0,0
40.0,458.0,0
29.0,377.0,0
37.0,670.0,0
47.0,740.0,0
26.0,436.0,0
25.0,556.0,0
26.0,411.0,0
34.0,886.0,0
14.0,1304.0,0
10.0,1013.0,0
39.0,418.0,0
31.0,387.0,0
30.0,1300.0,0
32.0,292.0,0
26.0,314.0,0
22.0,1121.0,0
31.0,226.0,2
27.0,379.0,0
32.0,292.0,0
36.0,417.0,0
24.0,373.0,0
22.0,731.0,0
35.0,1224.0,0
19.0,470.0,0
42.0,300.0,2
15.0,218.0,0
28.0,232.0,0
24.0,316.0,0
24.0,574.0,0
40.0,617.0,1
15.0,267.0,0
15.0,325.0,0
36.0,1007.0,0
28.0,386.0,0
30.0,1197.0,0
39.0,440.0,1
38.0,573.0,0
43.0,401.0,0
43.0,755.0,0
50.0,901.0,0
34.0,577.0,0
22.0,791.0,0
23.0,987.0,0
28.0,778.0,0
30.0,738.0,0
37.0,603.0,0
35.0,649.0,0
30.0,277.0,0
27.0,524.0,0
10.0,610.0,0
27.0,447.0,0
23.0,362.0,0
23.0,658.0,0
17.0,1038.0,0
21.0,586.0,0
34.0,534.0,0
19.0,456.0,0
28.0,335.0,0
18.0,541.0,0
34.0,589.0,0
31.0,359.0,0
26.0,335.0,0
19.0,489.0,0
31.0,390.0,0
26.0,483.0,0
22.0,875.0,0
33.0,569.0,0
35.0,460.0,0
26.0,379.0,0
18.0,266.0,0
20.0,754.0,0
42.0,244.0,0
50.0,503.0,0
14.0,461.0,0
37.0,708.0,0
33.0,465.0,0
38.0,789.0,0
33.0,696.0,0
48.0,1014.0,0
34.0,929.0,0
33.0,390.0,0
27.0,309.0,0
10.0,251.0,0
41.0,330.0,0
25.0,445.0,0
44.0,821.0,0
20.0,382.0,0
12.0,233.0,0
17.0,370.0,0
17.0,1040.0,0
24.0,319.0,0
18.0,312.0,0
20.0,808.0,0
22.0,315.0,0
44.0,549.0,1
25.0,581.0,0
28.0,396.0,1
16.0,681.0,0
26.0,515.0,0
54.0,836.0,0
24.0,292.0,0
18.0,457.0,0
27.0,926.0,0
38.0,261.0,0
17.0,452.0,0
24.0,467.0,0
36.0,538.0,0
39.0,254.0,0
10.0,406.0,0
46.0,1244.0,2
35.0,559.0,0
15.0,449.0,0
13.0,918.0,0
27.0,569.0,0
10.0,312.0,0
56.0,830.0,0
10.0,516.0,0
13.0,575.0,0
15.0,352.0,0
21.0,273.0,0
11.0,304.0,0
11.0,326.0,0
14.0,330.0,0
17.0,306.0,0
12.0,268.0,0
23.0,326.0,0
36.0,361.0,0
10.0,562.0,0
27.0,615.0,0
31.0,876.0,0
10.0,386.0,0
16.0,725.0,0
23.0,348.0,0
10.0,809.0,1
23.0,531.0,0
15.0,484.0,1
15.0,442.0,0
24.0,368.0,0
10.0,602.0,0
39.0,345.0,0
10.0,692.0,0
23.0,342.0,0
18.0,574.0,0
22.0,407.0,0
26.0,306.0,0
51.0,950.0,0
29.0,671.0,0
45.0,278.0,2
27.0,285.0,0
31.0,322.0,0
17.0,582.0,0
17.0,970.0,0
21.0,294.0,2
25.0,343.0,0
33.0,657.0,0
34.0,235.0,0
33.0,1104.0,0
47.0,813.0,0
22.0,391.0,0
10.0,364.0,0
18.0,797.0,0
11.0,345.0,0
30.0,247.0,1
28.0,832.0,0
18.0,537.0,0
16.0,491.0,0
33.0,498.0,0
27.0,299.0,0
42.0,514.0,0
26.0,543.0,0
16.0,395.0,0
36.0,284.0,0
10.0,425.0,0
20.0,465.0,0
11.0,446.0,0
11.0,593.0,0
28.0,436.0,0
27.0,1289.0,0
21.0,316.0,0
47.0,735.0,2
39.0,1080.0,0
33.0,372.0,0
24.0,1258.0,0
25.0,401.0,0
14.0,1276.0,0
35.0,846.0,0
17.0,988.0,0
37.0,363.0,0
19.0,351.0,0
26.0,298.0,0
18.0,591.0,0
10.0,454.0,0
10.0,321.0,0
11.0,379.0,0
41.0,539.0,1
10.0,509.0,0
10.0,515.0,0
15.0,490.0,0
16.0,423.0,0
10.0,370.0,0
31.0,518.0,0
38.0,405.0,0
32.0,577.0,0
33.0,326.0,0
25.0,714.0,0
10.0,346.0,0
27.0,801.0,0
35.0,483.0,0
10.0,551.0,0
10.0,761.0,0
17.0,272.0,0
15.0,469.0,0
22.0,1479.0,0
25.0,950.0,2
45.0,1355.0,2
35.0,385.0,0
21.0,373.0,0
14.0,632.0,0
31.0,1361.0,0
47.0,1380.0,0
45.0,1582.0,0
34.0,952.0,0
24.0,859.0,0
15.0,409.0,0
30.0,537.0,0
43.0,357.0,0
36.0,298.0,0
27.0,765.0,0
33.0,729.0,0
15.0,726.0,0
19.0,616.0,0
13.0,647.0,0
19.0,456.0,0
26.0,781.0,0
10.0,255.0,0
17.0,684.0,0
31.0,316.0,0
10.0,562.0,0
10.0,588.0,0
20.0,630.0,0
10.0,324.0,0
20.0,769.0,0
10.0,629.0,0
59.0,552.0,0
18.0,711.0,0
10.0,498.0,0
17.0,518.0,0
40.0,356.0,0
11.0,832.0,0
20.0,258.0,0
45.0,367.0,0
14.0,531.0,0
29.0,1038.0,0
18.0,393.0,0
14.0,545.0,0
18.0,749.0,0
12.0,293.0,0
17.0,579.0,0
14.0,1024.0,0
29.0,263.0,0
28.0,261.0,0
25.0,395.0,0
27.0,475.0,0
15.0,249.0,0
52.0,475.0,0
14.0,391.0,0
10.0,934.0,0
39.0,912.0,0
34.0,364.0,0
25.0,595.0,0
17.0,335.0,0
20.0,776.0,0
15.0,406.0,0
15.0,893.0,0
19.0,685.0,0
10.0,344.0,0
12.0,358.0,0
18.0,560.0,0
19.0,246.0,0
19.0,576.0,1
17.0,542.0,0
22.0,525.0,0
26.0,679.0,1
27.0,387.0,0
18.0,348.0,0
15.0,379.0,0
23.0,418.0,0
40.0,817.0,1
32.0,301.0,0
38.0,707.0,0
37.0,658.0,0
24.0,413.0,0
35.0,625.0,0
43.0,584.0,1
23.0,637.0,1
49.0,767.0,0
49.0,1313.0,2
18.0,790.0,0
10.0,333.0,0
26.0,597.0,0
47.0,878.0,0
34.0,834.0,0
10.0,263.0,0
20.0,573.0,0
28.0,389.0,0
10.0,530.0,0
35.0,498.0,0
29.0,293.0,0
18.0,259.0,0
22.0,462.0,0
13.0,474.0,0
23.0,432.0,0
30.0,419.0,0
31.0,368.0,0
14.0,253.0,0
14.0,380.0,0
38.0,436.0,0
28.0,790.0,0
38.0,768.0,0
42.0,480.0,0
40.0,1372.0,3
11.0,523.0,0
13.0,363.0,0
22.0,349.0,0
37.0,1148.0,0
23.0,880.0,0
11.0,774.0,0
45.0,256.0,0
12.0,1149.0,0
30.0,949.0,0
17.0,646.0,0
16.0,423.0,0
10.0,1094.0,0
10.0,1330.0,0
10.0,928.0,0
10.0,1043.0,0
14.0,637.0,0
27.0,645.0,0
35.0,492.0,0
21.0,400.0,0
55.0,1264.0,0
22.0,390.0,0
10.0,703.0,0
14.0,635.0,0
18.0,729.0,0
16.0,786.0,0
10.0,334.0,0
17.0,476.0,0
22.0,486.0,0
37.0,763.0,1
28.0,294.0,0
13.0,378.0,0
18.0,366.0,0
34.0,637.0,0
18.0,268.0,0
60.0,1377.0,0
45.0,767.0,0
25.0,642.0,0
17.0,723.0,0
17.0,355.0,0
22.0,304.0,0
29.0,344.0,0
39.0,421.0,0
16.0,796.0,0
25.0,264.0,1
22.0,530.0,0
30.0,354.0,0
17.0,287.0,0
19.0,429.0,0
10.0,374.0,0
26.0,311.0,0
19.0,472.0,0
35.0,489.0,0
14.0,412.0,0
45.0,732.0,0
30.0,286.0,0
39.0,293.0,0
28.0,274.0,0
39.0,187.0,0
29.0,253.0,0
39.0,248.0,0
34.0,892.0,0
32.0,324.0,0
10.0,515.0,0
10.0,513.0,0
24.0,283.0,0
25.0,326.0,0
31.0,251.0,0
25.0,286.0,0
36.0,265.0,0
38.0,317.0,0
21.0,1236.0,0
41.0,656.0,0
36.0,1750.0,0
45.0,706.0,0
32.0,1052.0,0
31.0,384.0,0
34.0,772.0,0
13.0,425.0,0
39.0,253.0,0
36.0,232.0,0
32.0,704.0,0
26.0,420.0,0
22.0,1085.0,1
14.0,481.0,1
12.0,267.0,0
37.0,281.0,0
10.0,550.0,0
43.0,246.0,0
42.0,455.0,0
18.0,712.0,0
23.0,541.0,0
10.0,674.0,0
20.0,905.0,0
13.0,675.0,0
14.0,826.0,0
40.0,671.0,1
15.0,366.0,4
23.0,780.0,4
21.0,337.0,0
10.0,591.0,0
29.0,1192.0,0
48.0,468.0,1
33.0,519.0,0
25.0,877.0,0
34.0,1090.0,2
39.0,797.0,0
22.0,817.0,0
21.0,403.0,0
10.0,760.0,0
32.0,262.0,0
31.0,300.0,0
37.0,282.0,0
40.0,249.0,0
44.0,283.0,0
45.0,349.0,0
39.0,582.0,0
39.0,367.0,0
33.0,341.0,0
26.0,941.0,0
40.0,354.0,2
16.0,354.0,0
10.0,348.0,0
16.0,269.0,0
10.0,1028.0,0
10.0,1116.0,0
29.0,579.0,0
13.0,1142.0,0
10.0,767.0,0
44.0,268.0,1
34.0,365.0,1
25.0,206.0,0
23.0,329.0,0
45.0,228.0,0
42.0,252.0,0
24.0,383.0,0
46.0,254.0,0
10.0,502.0,0
32.0,436.0,0
32.0,475.0,0
28.0,542.0,0
22.0,350.0,0
23.0,290.0,0
34.0,249.0,0
37.0,321.0,0
20.0,540.0,0
20.0,623.0,0
10.0,760.0,0
37.0,293.0,0
26.0,593.0,0
22.0,388.0,0
26.0,532.0,0
13.0,514.0,0
29.0,593.0,0
22.0,302.0,0
21.0,325.0,0
23.0,297.0,0
19.0,313.0,0
37.0,308.0,0
26.0,365.0,0
39.0,243.0,0
17.0,766.0,0
20.0,337.0,0
13.0,640.0,0
22.0,576.0,0
35.0,315.0,0
43.0,524.0,0
31.0,465.0,0
22.0,432.0,0
46.0,295.0,0
10.0,306.0,0
16.0,930.0,0
24.0,216.0,0
43.0,212.0,0
10.0,288.0,0
51.0,417.0,0
10.0,309.0,0
35.0,819.0,0
20.0,292.0,0
37.0,429.0,0
18.0,380.0,1
10.0,821.0,0
15.0,768.0,0
28.0,382.0,0
14.0,134.0,0
22.0,394.0,1
31.0,323.0,0
16.0,844.0,0
19.0,489.0,0
22.0,361.0,0
44.0,321.0,1
10.0,615.0,0
15.0,536.0,0
47.0,259.0,0
23.0,433.0,0
36.0,214.0,0
22.0,505.0,0
10.0,615.0,0
21.0,259.0,0
21.0,292.0,0
20.0,307.0,1
23.0,310.0,0
10.0,678.0,0
38.0,488.0,1
41.0,440.0,0
30.0,324.0,0
19.0,350.0,0
20.0,371.0,0
17.0,404.0,0
10.0,357.0,0
12.0,941.0,0
13.0,479.0,0
18.0,420.0,0
27.0,416.0,0
20.0,549.0,0
21.0,457.0,0
15.0,404.0,0
28.0,282.0,0
17.0,494.0,0
38.0,753.0,0
18.0,513.0,0
12.0,234.0,0
20.0,281.0,0
33.0,497.0,0
19.0,1123.0,0
60.0,385.0,0
26.0,627.0,2
14.0,379.0,0
29.0,293.0,0
44.0,331.0,0
20.0,541.0,0
19.0,306.0,0
10.0,916.0,0
12.0,775.0,0
23.0,304.0,0
40.0,238.0,0
27.0,291.0,0
16.0,269.0,0
18.0,261.0,0
13.0,908.0,0
12.0,754.0,0
40.0,406.0,0
10.0,398.0,0
24.0,509.0,0
34.0,501.0,0
40.0,315.0,0
17.0,415.0,0
28.0,306.0,0
13.0,774.0,0
34.0,253.0,0
31.0,360.0,0
25.0,282.0,0
18.0,337.0,0
26.0,256.0,0
30.0,432.0,0
41.0,280.0,0
22.0,339.0,0
25.0,365.0,0
10.0,507.0,0
36.0,220.0,0
10.0,638.0,0
30.0,313.0,0
37.0,683.0,0
16.0,483.0,0
28.0,356.0,0
10.0,339.0,0
20.0,551.0,0
16.0,283.0,0
17.0,296.0,0
26.0,241.0,0
34.0,312.0,0
16.0,304.0,0
30.0,552.0,0
11.0,430.0,0
24.0,245.0,0
24.0,250.0,0
11.0,757.0,0
40.0,525.0,0
24.0,377.0,0
26.0,457.0,0
24.0,667.0,0
16.0,247.0,0
25.0,301.0,0
26.0,262.0,0
35.0,311.0,0
36.0,220.0,0
10.0,1386.0,0
45.0,1091.0,0
30.0,1306.0,1
13.0,624.0,0
25.0,400.0,0
15.0,425.0,0
10.0,834.0,0
12.0,431.0,0
10.0,540.0,0
17.0,436.0,0
16.0,401.0,0
28.0,508.0,0
16.0,545.0,0
16.0,216.0,0
10.0,401.0,0
20.0,295.0,0
25.0,443.0,0
29.0,273.0,0
24.0,254.0,0
18.0,305.0,0
33.0,516.0,0
19.0,1468.0,0
28.0,248.0,0
10.0,837.0,0
33.0,605.0,0
10.0,1153.0,0
12.0,302.0,0
25.0,416.0,0
24.0,345.0,0
43.0,734.0,0
58.0,1090.0,0
10.0,431.0,0
14.0,430.0,0
14.0,482.0,0
25.0,714.0,0
10.0,993.0,0
31.0,557.0,0
16.0,1131.0,0
18.0,757.0,0
10.0,326.0,0
16.0,326.0,0
22.0,336.0,0
14.0,366.0,0
10.0,769.0,0
45.0,1297.0,0
45.0,568.0,0
21.0,332.0,0
23.0,693.0,0
26.0,251.0,0
20.0,819.0,0
18.0,650.0,0
19.0,375.0,0
10.0,331.0,0
12.0,268.0,0
15.0,662.0,0
27.0,235.0,0
30.0,259.0,0
24.0,322.0,0
22.0,498.0,0
30.0,340.0,0
22.0,199.0,0
37.0,1006.0,0
26.0,888.0,0
16.0,243.0,0
32.0,430.0,0
39.0,882.0,0
31.0,302.0,0
10.0,356.0,0
22.0,351.0,0
44.0,1009.0,0
43.0,1059.0,0
41.0,280.0,0
25.0,1153.0,0
24.0,1336.0,0
12.0,446.0,0
12.0,399.0,0
12.0,441.0,0
19.0,1256.0,0
42.0,479.0,0
21.0,805.0,0
15.0,1273.0,0
34.0,374.0,0
23.0,269.0,0
28.0,452.0,0
36.0,839.0,0
39.0,460.0,0
22.0,678.0,0
10.0,687.0,0
15.0,444.0,0
14.0,429.0,0
33.0,635.0,0
38.0,588.0,0
24.0,451.0,0
17.0,379.0,0
27.0,486.0,0
14.0,336.0,0
15.0,471.0,0
17.0,547.0,0
30.0,363.0,0
25.0,385.0,0
12.0,461.0,0
13.0,298.0,0
31.0,496.0,0
17.0,404.0,0
45.0,304.0,0
10.0,289.0,0
27.0,1055.0,2
21.0,543.0,0
32.0,703.0,0
10.0,924.0,0
10.0,336.0,0
40.0,403.0,0
21.0,338.0,0
17.0,352.0,0
36.0,656.0,0
22.0,639.0,0
51.0,311.0,0
10.0,329.0,0
11.0,506.0,0
29.0,906.0,0
17.0,693.0,0
10.0,683.0,0
19.0,697.0,0
13.0,429.0,0
19.0,386.0,0
18.0,473.0,0
13.0,289.0,0
37.0,291.0,0
13.0,711.0,0
12.0,1051.0,0
34.0,438.0,0
19.0,302.0,0
10.0,354.0,0
17.0,295.0,0
15.0,304.0,0
22.0,770.0,0
32.0,452.0,2
14.0,527.0,0
23.0,421.0,0
26.0,211.0,0
23.0,235.0,0
10.0,584.0,0
22.0,395.0,0
50.0,503.0,0
29.0,255.0,0
32.0,348.0,0
12.0,406.0,0
31.0,726.0,0
53.0,1035.0,0
20.0,827.0,0
16.0,355.0,0
26.0,249.0,0
12.0,968.0,0
13.0,250.0,0
17.0,512.0,0
32.0,368.0,0
15.0,559.0,0
26.0,394.0,0
27.0,237.0,0
25.0,427.0,0
23.0,287.0,0
10.0,892.0,0
25.0,535.0,0
16.0,474.0,0
13.0,245.0,0
30.0,271.0,0
34.0,334.0,0
13.0,338.0,0
37.0,330.0,1
18.0,255.0,0
27.0,264.0,0
36.0,522.0,0
19.0,628.0,0
10.0,943.0,0
10.0,654.0,0
21.0,440.0,0
10.0,615.0,0
25.0,694.0,0
23.0,607.0,0
25.0,653.0,0
11.0,883.0,0
31.0,1004.0,0
26.0,521.0,0
21.0,700.0,0
20.0,1214.0,0
12.0,711.0,0
19.0,1100.0,0
25.0,869.0,0
45.0,1148.0,0
20.0,908.0,0
45.0,460.0,0
32.0,645.0,0
12.0,531.0,0
16.0,529.0,0
47.0,766.0,0
26.0,1181.0,0
18.0,645.0,0
17.0,297.0,0
25.0,496.0,0
11.0,316.0,0
48.0,326.0,0
29.0,1024.0,1
46.0,628.0,1
24.0,371.0,0
14.0,804.0,0
26.0,549.0,0
45.0,364.0,0
35.0,281.0,0
10.0,906.0,0
10.0,788.0,0
50.0,864.0,0
33.0,664.0,0
26.0,826.0,0
10.0,381.0,0
21.0,260.0,0
35.0,1052.0,0
37.0,806.0,1
24.0,684.0,1
16.0,323.0,0
16.0,630.0,0
10.0,480.0,0
10.0,717.0,0
10.0,591.0,0
18.0,353.0,0
22.0,340.0,0
10.0,346.0,0
30.0,634.0,0
31.0,713.0,0
20.0,425.0,0
24.0,931.0,0
28.0,846.0,0
34.0,508.0,0
20.0,575.0,0
46.0,1016.0,0
24.0,221.0,0
17.0,932.0,0
11.0,945.0,0
31.0,563.0,0
11.0,655.0,0
31.0,371.0,0
10.0,369.0,0
26.0,312.0,0
29.0,570.0,0
10.0,389.0,0
13.0,410.0,0
19.0,368.0,0
17.0,365.0,0
16.0,349.0,0
35.0,820.0,0
26.0,556.0,0
30.0,547.0,0
26.0,237.0,0
24.0,677.0,0
22.0,270.0,0
39.0,260.0,0
41.0,814.0,0
37.0,478.0,0
45.0,282.0,0
40.0,705.0,0
12.0,643.0,0
33.0,273.0,0
13.0,768.0,0
25.0,539.0,0
49.0,1077.0,0
35.0,386.0,0
16.0,1000.0,0
22.0,851.0,0
29.0,321.0,0
10.0,1193.0,0
22.0,656.0,0
18.0,530.0,0
50.0,1261.0,0
23.0,356.0,0
33.0,475.0,0
37.0,443.0,0
15.0,859.0,0
33.0,349.0,0
11.0,583.0,0
17.0,931.0,0
19.0,262.0,0
10.0,689.0,0
15.0,949.0,0
27.0,483.0,0
18.0,844.0,0
23.0,419.0,0
16.0,870.0,0
10.0,539.0,0
26.0,673.0,0
26.0,1075.0,0
25.0,525.0,0
24.0,560.0,0
10.0,440.0,0
18.0,608.0,0
31.0,320.0,0
45.0,443.0,1
17.0,552.0,0
26.0,336.0,0
25.0,562.0,0
30.0,332.0,0
22.0,484.0,0
30.0,295.0,0
35.0,254.0,0
27.0,325.0,0
40.0,393.0,0
23.0,826.0,0
21.0,738.0,0
15.0,448.0,0
45.0,434.0,0
34.0,1888.0,2
38.0,1270.0,0
14.0,455.0,0
18.0,430.0,0
40.0,445.0,0
16.0,697.0,0
25.0,389.0,0
27.0,671.0,0
22.0,327.0,0
24.0,645.0,0
39.0,382.0,0
41.0,624.0,0
17.0,480.0,0
39.0,251.0,0
36.0,1577.0,0
32.0,696.0,0
22.0,540.0,0
45.0,1487.0,2
45.0,992.0,0
33.0,563.0,0
15.0,756.0,0
42.0,273.0,0
28.0,535.0,0
48.0,584.0,0
25.0,298.0,0
27.0,349.0,0
29.0,279.0,0
30.0,403.0,0
38.0,400.0,0
22.0,463.0,1
44.0,800.0,0
32.0,469.0,0
25.0,310.0,0
25.0,382.0,0
31.0,516.0,0
33.0,367.0,0
15.0,399.0,0
36.0,524.0,1
21.0,462.0,0
19.0,454.0,0
30.0,244.0,0
47.0,928.0,0
41.0,586.0,0
13.0,706.0,0
41.0,1276.0,4
27.0,367.0,0
19.0,561.0,0
19.0,483.0,0
16.0,491.0,0
58.0,920.0,10
23.0,371.0,0
32.0,339.0,0
29.0,332.0,0
24.0,310.0,0
26.0,381.0,0
21.0,341.0,0
16.0,656.0,0
18.0,542.0,1
43.0,262.0,0
22.0,438.0,0
21.0,287.0,0
28.0,346.0,0
35.0,264.0,0
35.0,310.0,0
17.0,653.0,0
30.0,479.0,0
16.0,492.0,0
18.0,448.0,0
20.0,409.0,0
32.0,282.0,0
31.0,310.0,0
29.0,673.0,0
22.0,378.0,0
36.0,700.0,3
13.0,1576.0,0
10.0,484.0,0
45.0,894.0,0
35.0,488.0,0
25.0,582.0,0
21.0,393.0,0
28.0,341.0,0
35.0,970.0,0
31.0,308.0,0
42.0,600.0,0
17.0,398.0,0
15.0,638.0,0
40.0,803.0,0
14.0,1182.0,0
32.0,220.0,0
13.0,1062.0,0
10.0,749.0,0
20.0,955.0,0
52.0,1382.0,0
45.0,1559.0,0
33.0,1248.0,0
25.0,1142.0,0
34.0,944.0,0
15.0,1170.0,0
30.0,654.0,0
46.0,515.0,2
18.0,694.0,0
35.0,639.0,0
48.0,673.0,0
27.0,793.0,2
27.0,663.0,0
50.0,2127.0,5
39.0,750.0,2
23.0,610.0,0
24.0,465.0,0
10.0,539.0,0
19.0,391.0,0
24.0,557.0,0
32.0,609.0,0
19.0,506.0,0
24.0,452.0,0
19.0,745.0,0
20.0,663.0,0
32.0,351.0,0
31.0,606.0,0
28.0,354.0,0
12.0,1017.0,0
32.0,623.0,0
31.0,417.0,1
36.0,523.0,0
45.0,399.0,0
45.0,762.0,0
27.0,496.0,0
32.0,364.0,0
33.0,327.0,0
49.0,361.0,0
38.0,471.0,0
10.0,571.0,0
28.0,550.0,2
45.0,779.0,0
45.0,749.0,2
31.0,481.0,0
20.0,608.0,0
30.0,279.0,0
37.0,373.0,0
32.0,560.0,0
19.0,587.0,0
34.0,542.0,0
20.0,422.0,0
18.0,518.0,0
19.0,446.0,0
31.0,252.0,0
20.0,561.0,0
14.0,253.0,0
13.0,757.0,0
37.0,567.0,0
39.0,393.0,0
21.0,420.0,0
43.0,195.0,0
12.0,308.0,0
37.0,317.0,0
45.0,520.0,0
40.0,309.0,0
25.0,391.0,0
45.0,819.0,0
41.0,548.0,0
33.0,454.0,0
50.0,989.0,0
24.0,1011.0,0
45.0,683.0,0
29.0,553.0,0
12.0,565.0,0
10.0,443.0,0
13.0,384.0,0
19.0,865.0,0
45.0,522.0,0
18.0,320.0,0
10.0,382.0,0
27.0,423.0,0
15.0,544.0,0
12.0,572.0,0
19.0,580.0,0
25.0,430.0,0
20.0,634.0,0
15.0,704.0,0
28.0,507.0,0
21.0,518.0,0
19.0,758.0,0
31.0,449.0,0
25.0,473.0,0
26.0,431.0,0
24.0,539.0,0
37.0,516.0,0
25.0,579.0,0
28.0,717.0,0
31.0,533.0,0
22.0,621.0,0
28.0,370.0,0
35.0,564.0,0
21.0,301.0,0
41.0,390.0,0
34.0,359.0,0
33.0,253.0,0
23.0,546.0,0
34.0,436.0,0
18.0,436.0,0
26.0,706.0,0
30.0,485.0,0
28.0,538.0,0
45.0,655.0,0
31.0,524.0,0
27.0,292.0,0
17.0,320.0,0
14.0,418.0,0
22.0,406.0,0
15.0,365.0,0
10.0,365.0,0
27.0,369.0,0
42.0,560.0,0
20.0,316.0,0
29.0,298.0,0
21.0,268.0,0
11.0,455.0,0
10.0,432.0,0
35.0,311.0,0
36.0,372.0,0
23.0,362.0,0
18.0,529.0,1
21.0,436.0,0
36.0,333.0,0
26.0,390.0,0
13.0,1076.0,0
28.0,784.0,0
31.0,623.0,0
19.0,465.0,0
45.0,317.0,0
17.0,297.0,0
27.0,656.0,0
28.0,386.0,0
19.0,479.0,0
29.0,472.0,0
21.0,281.0,0
34.0,474.0,0
12.0,371.0,0
25.0,237.0,0
27.0,495.0,0
17.0,656.0,0
29.0,399.0,0
34.0,296.0,0
25.0,681.0,0
23.0,804.0,0
43.0,1204.0,9
36.0,316.0,0
31.0,441.0,0
13.0,435.0,0
30.0,289.0,0
31.0,463.0,0
18.0,492.0,0
10.0,427.0,0
21.0,372.0,0
44.0,583.0,0
35.0,338.0,0
23.0,875.0,0
11.0,628.0,0
19.0,575.0,0
42.0,468.0,0
35.0,487.0,0
22.0,393.0,0
26.0,364.0,0
39.0,345.0,0
25.0,393.0,0
49.0,464.0,0
42.0,774.0,0
25.0,552.0,0
17.0,525.0,0
32.0,401.0,0
27.0,560.0,0
32.0,566.0,0
35.0,432.0,0
21.0,488.0,0
28.0,274.0,0
34.0,339.0,0
10.0,740.0,0
14.0,870.0,0
20.0,418.0,0
37.0,974.0,0
35.0,706.0,0
25.0,592.0,0
15.0,542.0,0
28.0,638.0,0
33.0,437.0,0
29.0,565.0,0
18.0,521.0,0
45.0,934.0,0
14.0,776.0,0
10.0,505.0,0
28.0,396.0,0
48.0,486.0,0
17.0,275.0,0
27.0,301.0,0
45.0,831.0,0
51.0,858.0,0
36.0,310.0,0
16.0,354.0,0
30.0,247.0,0
39.0,790.0,0
37.0,955.0,0
43.0,648.0,0
31.0,461.0,0
39.0,455.0,0
42.0,574.0,0
25.0,1008.0,0
37.0,481.0,0
54.0,401.0,0
44.0,1494.0,3
54.0,430.0,0
37.0,331.0,0
25.0,386.0,0
44.0,376.0,0
